Impact,output-BillWeb-73,Severity,Title,"Bulletin
ID",output-Report-66,output-Gateway_Backup.76,output-MamWeb-70,output-MemDB-72,output-BillDB-75,Supersedes,output -WinJumpoff-68,output-BackUp-65,output-Mem&BillTest-95,Component KB,output-MemAPI-71,CVEs,Bulletin KB,"Date
Posted",Affected Component,Reboot,output-BillAPI-74,Affected Product
Information Disclosure,False,Important,Security Update for .NET Framework,MS16-091,False,False,False,False,False,,False,False,False,3164023,False,CVE-2016-3255,3170048,2016-07-12,Microsoft .NET Framework 4.6/4.6.1,Maybe,False,Windows Server 2012 (Server Core installation)
Elevation of Privilege,False,Important,Security Update for Windows Kernel-Mode Drivers,MS16-090,False,False,False,False,False,MS16-073[3161664],False,False,False,3168965,False,"CVE-2016-3249,CVE-2016-3250,CVE-2016-3251,CVE-2016-3252,CVE-2016-3254,CVE-2016-3286",3171481,2016-07-12,,Yes,False,Windows Server 2012
Elevation of Privilege,False,Important,Security Update for Windows Kernel-Mode Drivers,MS16-090,False,False,False,False,False,MS16-073[3161664],False,False,False,3168965,False,"CVE-2016-3249,CVE-2016-3250,CVE-2016-3251,CVE-2016-3252,CVE-2016-3254,CVE-2016-3286",3171481,2016-07-12,,Yes,False,Windows Server 2012 R2
Elevation of Privilege,False,Important,Security Update for Windows Kernel-Mode Drivers,MS16-090,False,False,False,False,False,MS16-073[3161664],False,False,False,3168965,False,"CVE-2016-3249,CVE-2016-3250,CVE-2016-3251,CVE-2016-3252,CVE-2016-3254,CVE-2016-3286",3171481,2016-07-12,,Yes,False,Windows Server 2012 (Server Core installation)
Elevation of Privilege,False,Important,Security Update for Windows Kernel-Mode Drivers,MS16-090,False,False,False,False,False,MS16-073[3161664],False,False,False,3168965,False,"CVE-2016-3249,CVE-2016-3250,CVE-2016-3251,CVE-2016-3252,CVE-2016-3254,CVE-2016-3286",3171481,2016-07-12,,Yes,False,Windows Server 2012 R2 (server core installation)
Remote Code Execution,False,Critical,Security Update for Windows Print Spooler Components,MS16-087,False,False,False,False,False,,False,False,False,3170455,False,"CVE-2016-3238,CVE-2016-3239",3170005,2016-07-12,,Maybe,False,Windows Server 2012
Remote Code Execution,False,Critical,Security Update for Windows Print Spooler Components,MS16-087,False,False,False,False,False,,False,False,False,3170455,False,"CVE-2016-3238,CVE-2016-3239",3170005,2016-07-12,,Maybe,False,Windows Server 2012 R2
Remote Code Execution,False,Critical,Security Update for Windows Print Spooler Components,MS16-087,False,False,False,False,False,,False,False,False,3170455,False,"CVE-2016-3238,CVE-2016-3239",3170005,2016-07-12,,Maybe,False,Windows Server 2012 (Server Core installation)
Remote Code Execution,False,Critical,Security Update for Windows Print Spooler Components,MS16-087,False,False,False,False,False,,False,False,False,3170455,False,"CVE-2016-3238,CVE-2016-3239",3170005,2016-07-12,,Maybe,False,Windows Server 2012 R2 (server core installation)
Remote Code Execution,False,Moderate,Cumulative Security Update for Internet Explorer,MS16-084,False,False,False,False,False,MS16-063[3160005],False,False,False,3170106,False,"CVE-2016-3204,CVE-2016-3240,CVE-2016-3241,CVE-2016-3242,CVE-2016-3243,CVE-2016-3245,CVE-2016-3248,CVE-2016-3259,CVE-2016-3260,CVE-2016-3261,CVE-2016-3273,CVE-2016-3274,CVE-2016-3276,CVE-2016-3277",3169991,2016-07-12,Internet Explorer 10,Yes,False,Windows Server 2012
Remote Code Execution,False,Moderate,Cumulative Security Update for Internet Explorer,MS16-084,False,False,False,False,False,MS16-063[3160005],False,False,False,3170106,False,"CVE-2016-3204,CVE-2016-3240,CVE-2016-3241,CVE-2016-3242,CVE-2016-3243,CVE-2016-3245,CVE-2016-3248,CVE-2016-3259,CVE-2016-3260,CVE-2016-3261,CVE-2016-3273,CVE-2016-3274,CVE-2016-3276,CVE-2016-3277",3169991,2016-07-12,Internet Explorer 11,Yes,False,Windows Server 2012 R2
Remote Code Execution,False,Critical,Security Update for Adobe Flash Player,MS16-083,False,False,False,False,False,MS16-064[3163207],False,False,False,3167685,False,,3167685,2016-06-16,Adobe Flash Player,Yes,False,Windows Server 2012
Remote Code Execution,False,Critical,Security Update for Adobe Flash Player,MS16-083,False,False,False,False,False,MS16-064[3163207],False,False,False,3167685,False,,3167685,2016-06-16,Adobe Flash Player,Yes,False,Windows Server 2012 R2
Denial of Service,False,Important,Security Update for Microsoft Windows Search Component,MS16-082,False,False,False,False,False,,True,False,False,3161958,False,CVE-2016-3230,3165270,2016-06-14,,Yes,False,Windows Server 2012
Denial of Service,False,Important,Security Update for Microsoft Windows Search Component,MS16-082,False,False,False,False,False,,True,False,False,3161958,False,CVE-2016-3230,3165270,2016-06-14,,Yes,False,Windows Server 2012 R2
Denial of Service,False,Important,Security Update for Microsoft Windows Search Component,MS16-082,False,False,False,False,False,,True,False,False,3161958,False,CVE-2016-3230,3165270,2016-06-14,,Yes,False,Windows Server 2012 (Server Core installation)
Denial of Service,False,Important,Security Update for Microsoft Windows Search Component,MS16-082,False,False,False,False,False,,True,False,False,3161958,False,CVE-2016-3230,3165270,2016-06-14,,Yes,False,Windows Server 2012 R2 (server core installation)
Denial of Service,False,Important,Security Update for Active Directory,MS16-081,False,False,False,False,False,MS13-032[2772930],False,False,False,3160352,False,CVE-2016-3226,3160352,2016-06-14,,Yes,False,Windows Server 2012
Denial of Service,False,Important,Security Update for Active Directory,MS16-081,False,False,False,False,False,MS13-032[2772930],False,False,False,3160352,False,CVE-2016-3226,3160352,2016-06-14,,Yes,False,Windows Server 2012 R2
Denial of Service,False,Important,Security Update for Active Directory,MS16-081,False,False,False,False,False,MS13-032[2772930],False,False,False,3160352,False,CVE-2016-3226,3160352,2016-06-14,,Yes,False,Windows Server 2012 (Server Core installation)
Denial of Service,False,Important,Security Update for Active Directory,MS16-081,False,False,False,False,False,MS13-032[2772930],False,False,False,3160352,False,CVE-2016-3226,3160352,2016-06-14,,Yes,False,Windows Server 2012 R2 (server core installation)
Remote Code Execution,False,Important,Security Update for Microsoft Windows PDF,MS16-080,False,False,False,False,False,MS16-028[3137513],False,False,False,3157569,False,"CVE-2016-3201,CVE-2016-3203,CVE-2016-3215",3164302,2016-06-14,,Maybe,False,Windows Server 2012
Remote Code Execution,False,Important,Security Update for Microsoft Windows PDF,MS16-080,False,False,False,False,False,MS16-028[3137513],False,False,False,3157569,False,"CVE-2016-3201,CVE-2016-3203,CVE-2016-3215",3164302,2016-06-14,,Maybe,False,Windows Server 2012 R2
Elevation of Privilege,False,Important,Security Update for WPAD,MS16-077,False,False,False,False,False,,True,False,False,3161949,False,CVE-2016-3213.CVE-2016-3236,3165191,2016-06-14,,Yes,False,Windows Server 2012
Elevation of Privilege,False,Important,Security Update for WPAD,MS16-077,False,False,False,False,False,,True,False,False,3161949,False,CVE-2016-3213.CVE-2016-3236,3165191,2016-06-14,,Yes,False,Windows Server 2012 R2
Elevation of Privilege,False,Important,Security Update for WPAD,MS16-077,False,False,False,False,False,,True,False,False,3161949,False,CVE-2016-3213.CVE-2016-3236,3165191,2016-06-14,,Yes,False,Windows Server 2012 (Server Core installation)
Remote Code Execution,False,Important,Security Update for Netlogon,MS16-076,False,False,False,False,False,MS15-122[3101246],True,False,False,3161561,False,CVE-2016-3228,3167691,2016-06-14,,Yes,False,Windows Server 2012
Remote Code Execution,False,Important,Security Update for Netlogon,MS16-076,False,False,False,False,False,MS15-122[3101246],True,False,False,3161561,False,CVE-2016-3228,3167691,2016-06-14,,Yes,False,Windows Server 2012 (Server Core installation)
Remote Code Execution,False,Important,Security Update for Netlogon,MS16-076,False,False,False,False,False,,False,False,False,3162343,False,CVE-2016-3228,3167691,2016-06-14,,Yes,False,Windows Server 2012 R2
Remote Code Execution,False,Important,Security Update for Netlogon,MS16-076,False,False,False,False,False,,False,False,False,3162343,False,CVE-2016-3228,3167691,2016-06-14,,Yes,False,Windows Server 2012 R2 (server core installation)
Elevation of Privilege,False,Important,Security Update for Windows SMB Server,MS16-075,False,False,False,False,False,MS15-122[3101246],True,False,False,3161561,False,CVE-2016-3225,3164038,2016-06-14,,Yes,False,Windows Server 2012
Elevation of Privilege,False,Important,Security Update for Windows SMB Server,MS16-075,False,False,False,False,False,MS15-122[3101246],True,False,False,3161561,False,CVE-2016-3225,3164038,2016-06-14,,Yes,False,Windows Server 2012 (Server Core installation)
Elevation of Privilege,False,Important,Security Update for Windows SMB Server,MS16-075,False,False,False,False,False,MS15-052[3050514],True,False,False,3161561,False,CVE-2016-3225,3164038,2016-06-14,,Yes,False,Windows Server 2012 R2
Elevation of Privilege,False,Important,Security Update for Windows SMB Server,MS16-075,False,False,False,False,False,MS15-052[3050514],True,False,False,3161561,False,CVE-2016-3225,3164038,2016-06-14,,Yes,False,Windows Server 2012 R2 (server core installation)
Elevation of Privilege,False,Important,Security Update for Microsoft Graphics Component,MS16-074,False,False,False,False,False,MS16-026[3140735],True,False,False,3164033,False,"CVE-2016-3216,CVE-2016-3219,CVE-2016-3220",3164036,2016-06-14,,Yes,False,Windows Server 2012
Elevation of Privilege,False,Important,Security Update for Microsoft Graphics Component,MS16-074,False,False,False,False,False,MS16-026[3140735],True,False,False,3164033,False,"CVE-2016-3216,CVE-2016-3219,CVE-2016-3220",3164036,2016-06-14,,Yes,False,Windows Server 2012 R2
Elevation of Privilege,False,Important,Security Update for Microsoft Graphics Component,MS16-074,False,False,False,False,False,MS16-026[3140735],True,False,False,3164033,False,"CVE-2016-3216,CVE-2016-3219,CVE-2016-3220",3164036,2016-06-14,,Yes,False,Windows Server 2012 (Server Core installation)
Elevation of Privilege,False,Important,Security Update for Microsoft Graphics Component,MS16-074,False,False,False,False,False,MS16-026[3140735],True,False,False,3164033,False,"CVE-2016-3216,CVE-2016-3219,CVE-2016-3220",3164036,2016-06-14,,Yes,False,Windows Server 2012 R2 (server core installation)
Information Disclosure,False,Important,Security Update for Microsoft Graphics Component,MS16-074,False,False,False,False,False,MS16-055[3156013],True,False,False,3164035,False,"CVE-2016-3216,CVE-2016-3219,CVE-2016-3220",3164036,2016-06-14,,Yes,False,Windows Server 2012
Information Disclosure,False,Important,Security Update for Microsoft Graphics Component,MS16-074,False,False,False,False,False,MS16-055[3156013],True,False,False,3164035,False,"CVE-2016-3216,CVE-2016-3219,CVE-2016-3220",3164036,2016-06-14,,Yes,False,Windows Server 2012 R2
Information Disclosure,False,Important,Security Update for Microsoft Graphics Component,MS16-074,False,False,False,False,False,MS16-055[3156013],True,False,False,3164035,False,"CVE-2016-3216,CVE-2016-3219,CVE-2016-3220",3164036,2016-06-14,,Yes,False,Windows Server 2012 (Server Core installation)
Information Disclosure,False,Important,Security Update for Microsoft Graphics Component,MS16-074,False,False,False,False,False,MS16-055[3156013],True,False,False,3164035,False,"CVE-2016-3216,CVE-2016-3219,CVE-2016-3220",3164036,2016-06-14,,Yes,False,Windows Server 2012 R2 (server core installation)
Elevation of Privilege,False,Important,Security Update for Windows Kernel-Mode Drivers,MS16-073,False,False,False,False,False,MS16-062[3153199],True,False,False,3161664,False,"CVE-2016-3218,CVE-2016-3221,CVE-2016-3232",3164028,2016-06-14,,Yes,False,Windows Server 2012
Elevation of Privilege,False,Important,Security Update for Windows Kernel-Mode Drivers,MS16-073,False,False,False,False,False,MS16-062[3153199],True,False,False,3161664,False,"CVE-2016-3218,CVE-2016-3221,CVE-2016-3232",3164028,2016-06-14,,Yes,False,Windows Server 2012 R2
Elevation of Privilege,False,Important,Security Update for Windows Kernel-Mode Drivers,MS16-073,False,False,False,False,False,MS16-062[3153199],True,False,False,3161664,False,"CVE-2016-3218,CVE-2016-3221,CVE-2016-3232",3164028,2016-06-14,,Yes,False,Windows Server 2012 (Server Core installation)
Elevation of Privilege,False,Important,Security Update for Windows Kernel-Mode Drivers,MS16-073,False,False,False,False,False,MS16-062[3153199],True,False,False,3161664,False,"CVE-2016-3218,CVE-2016-3221,CVE-2016-3232",3164028,2016-06-14,,Yes,False,Windows Server 2012 R2 (server core installation)
Information Disclosure,False,Important,Security Update for Windows Kernel-Mode Drivers,MS16-073,False,False,False,False,False,,False,False,False,3164294,False,"CVE-2016-3218,CVE-2016-3221,CVE-2016-3232",3164028,2016-06-14,,Yes,False,Windows Server 2012
Information Disclosure,False,Important,Security Update for Windows Kernel-Mode Drivers,MS16-073,False,False,False,False,False,,False,False,False,3164294,False,"CVE-2016-3218,CVE-2016-3221,CVE-2016-3232",3164028,2016-06-14,,Yes,False,Windows Server 2012 R2
Information Disclosure,False,Important,Security Update for Windows Kernel-Mode Drivers,MS16-073,False,False,False,False,False,,False,False,False,3164294,False,"CVE-2016-3218,CVE-2016-3221,CVE-2016-3232",3164028,2016-06-14,,Yes,False,Windows Server 2012 (Server Core installation)
Information Disclosure,False,Important,Security Update for Windows Kernel-Mode Drivers,MS16-073,False,False,False,False,False,,False,False,False,3164294,False,"CVE-2016-3218,CVE-2016-3221,CVE-2016-3232",3164028,2016-06-14,,Yes,False,Windows Server 2012 R2 (server core installation)
Elevation of Privilege,False,Important,Security Update for Group Policy,MS16-072,False,False,False,False,False,,True,False,False,3159398,False,CVE-2016-3223,3163622,2016-06-14,,Yes,False,Windows Server 2012
Elevation of Privilege,False,Important,Security Update for Group Policy,MS16-072,False,False,False,False,False,,True,False,False,3159398,False,CVE-2016-3223,3163622,2016-06-14,,Yes,False,Windows Server 2012 R2
Elevation of Privilege,False,Important,Security Update for Group Policy,MS16-072,False,False,False,False,False,,True,False,False,3159398,False,CVE-2016-3223,3163622,2016-06-14,,Yes,False,Windows Server 2012 (Server Core installation)
Elevation of Privilege,False,Important,Security Update for Group Policy,MS16-072,False,False,False,False,False,,True,False,False,3159398,False,CVE-2016-3223,3163622,2016-06-14,,Yes,False,Windows Server 2012 R2 (server core installation)
Remote Code Execution,False,Critical,Security Update for Microsoft Windows DNS Server,MS16-071,False,False,False,False,False,MS15-127[3100465],False,False,False,3161951,False,CVE-2016-3227,3164065,2016-06-14,,Yes,False,Windows Server 2012
Remote Code Execution,False,Critical,Security Update for Microsoft Windows DNS Server,MS16-071,False,False,False,False,False,MS15-127[3100465],False,False,False,3161951,False,CVE-2016-3227,3164065,2016-06-14,,Yes,False,Windows Server 2012 R2
Remote Code Execution,False,Critical,Security Update for Microsoft Windows DNS Server,MS16-071,False,False,False,False,False,MS15-127[3100465],False,False,False,3161951,False,CVE-2016-3227,3164065,2016-06-14,,Yes,False,Windows Server 2012 (Server Core installation)
Remote Code Execution,False,Critical,Security Update for Microsoft Windows DNS Server,MS16-071,False,False,False,False,False,MS15-127[3100465],False,False,False,3161951,False,CVE-2016-3227,3164065,2016-06-14,,Yes,False,Windows Server 2012 R2 (server core installation)
Information Disclosure,False,Important,Security Update for Volume Manager Driver,MS16-067,False,False,False,False,False,,False,False,False,3155784,False,CVE-2016-0190,3155784,2016-05-10,,Maybe,False,Windows Server 2012
Information Disclosure,False,Important,Security Update for Volume Manager Driver,MS16-067,False,False,False,False,False,,False,False,False,3155784,False,CVE-2016-0190,3155784,2016-05-10,,Maybe,False,Windows Server 2012 R2
Elevation of Privilege,False,Important,Security Update for Volume Manager Driver,MS16-067,False,False,False,False,False,,False,False,False,3155784,False,CVE-2016-0190,3155784,2016-05-10,,Maybe,False,Windows Server 2012 (Server Core installation)
Elevation of Privilege,False,Important,Security Update for Volume Manager Driver,MS16-067,False,False,False,False,False,,False,False,False,3155784,False,CVE-2016-0190,3155784,2016-05-10,,Maybe,False,Windows Server 2012 R2 (server core installation)
Information Disclosure,False,Important,Security Update for .NET Framework,MS16-065,False,False,False,False,False,,False,False,False,3142026,False,CVE-2016-0149,3156757,2016-05-10,Microsoft .NET Framework 3.5,Maybe,False,Windows Server 2012 R2
Information Disclosure,False,Important,Security Update for .NET Framework,MS16-065,False,False,False,False,False,,False,False,False,3142026,False,CVE-2016-0149,3156757,2016-05-10,Microsoft .NET Framework 3.5,Maybe,False,Windows Server 2012 R2 (server core installation)
Information Disclosure,False,Important,Security Update for .NET Framework,MS16-065,False,False,False,False,False,MS14-057[2978041],False,False,False,3142030,False,CVE-2016-0149,3156757,2016-05-10,Microsoft .NET Framework 4.5.2,Maybe,False,Windows Server 2012 R2
Information Disclosure,False,Important,Security Update for .NET Framework,MS16-065,False,False,False,False,False,MS14-057[2978041],False,False,False,3142030,False,CVE-2016-0149,3156757,2016-05-10,Microsoft .NET Framework 4.5.2,Maybe,False,Windows Server 2012 R2 (server core installation)
Information Disclosure,False,Important,Security Update for .NET Framework,MS16-065,False,False,False,False,False,,False,False,False,3142036,False,CVE-2016-0149,3156757,2016-05-10,Microsoft .NET Framework 4.6/4.6.1,Maybe,False,Windows Server 2012 R2
Information Disclosure,False,Important,Security Update for .NET Framework,MS16-065,False,False,False,False,False,,False,False,False,3142036,False,CVE-2016-0149,3156757,2016-05-10,Microsoft .NET Framework 4.6/4.6.1,Maybe,False,Windows Server 2012 R2 (server core installation)
Information Disclosure,False,Important,Security Update for .NET Framework,MS16-065,False,False,False,False,False,,False,False,False,3142025,False,CVE-2016-0149,3156757,2016-05-10,Microsoft .NET Framework 3.5,Maybe,False,Windows Server 2012
Information Disclosure,False,Important,Security Update for .NET Framework,MS16-065,False,False,False,False,False,,False,False,False,3142025,False,CVE-2016-0149,3156757,2016-05-10,Microsoft .NET Framework 3.5,Maybe,False,Windows Server 2012 (Server Core installation)
Information Disclosure,False,Important,Security Update for .NET Framework,MS16-065,False,False,False,False,False,MS14-057[2978042],False,False,False,3142032,False,CVE-2016-0149,3156757,2016-05-10,Microsoft .NET Framework 4.5.2,Maybe,False,Windows Server 2012
Information Disclosure,False,Important,Security Update for .NET Framework,MS16-065,False,False,False,False,False,MS14-057[2978042],False,False,False,3142032,False,CVE-2016-0149,3156757,2016-05-10,Microsoft .NET Framework 4.5.2,Maybe,False,Windows Server 2012 (Server Core installation)
Information Disclosure,False,Important,Security Update for .NET Framework,MS16-065,False,False,False,False,False,,False,False,False,3142035,False,CVE-2016-0149,3156757,2016-05-10,Microsoft .NET Framework 4.6/4.6.1,Maybe,False,Windows Server 2012
Information Disclosure,False,Important,Security Update for .NET Framework,MS16-065,False,False,False,False,False,,False,False,False,3142035,False,CVE-2016-0149,3156757,2016-05-10,Microsoft .NET Framework 4.6/4.6.1,Maybe,False,Windows Server 2012 (Server Core installation)
Remote Code Execution,False,Moderate,Security Update for Adobe Flash Player,MS16-064,False,False,False,False,False,MS16-050[3154132],False,False,False,3163207,False,,3157993,2016-05-10,Adobe Flash Player,Yes,False,Windows Server 2012
Remote Code Execution,False,Moderate,Security Update for Adobe Flash Player,MS16-064,False,False,False,False,False,MS16-050[3154132],False,False,False,3163207,False,,3157993,2016-05-10,Adobe Flash Player,Yes,False,Windows Server 2012 R2
Remote Code Execution,False,Moderate,Cumulative Security Update for Internet Explorer,MS16-063,False,False,False,False,False,MS16-051[3154070],False,False,False,3160005,False,"CVE-2016-0199,CVE-2016-0200,CVE-2016-3202,CVE-2016-3205,CVE-2016-3206,CVE-2016-3207,CVE-2016-3210,CVE-2016-3211,CVE-2016-3212,CVE-2016-3213",3163649,2016-06-14,Internet Explorer 10,Yes,False,Windows Server 2012
Remote Code Execution,False,Moderate,Cumulative Security Update for Internet Explorer,MS16-063,False,False,False,False,False,MS16-051[3154070],False,False,False,3160005,False,"CVE-2016-0199,CVE-2016-0200,CVE-2016-3202,CVE-2016-3205,CVE-2016-3206,CVE-2016-3207,CVE-2016-3210,CVE-2016-3211,CVE-2016-3212,CVE-2016-3213",3163649,2016-06-14,Windows Internet Explorer 11,Yes,False,Windows Server 2012 R2
Elevation of Privilege,False,Important,Security Update for Windows Kernel-Mode Drivers,MS16-062,False,False,False,False,False,MS16-034[3139852],True,False,False,3153199,False,"CVE-2016-0171,CVE-2016-0173,CVE-2016-0174,CVE-2016-0175,CVE-2016-0176,CVE-2016-0196,CVE-2016-0197",3158222,2016-05-10,,Yes,False,Windows Server 2012 (Server Core installation)
Elevation of Privilege,False,Important,Security Update for Windows Kernel-Mode Drivers,MS16-062,False,False,False,False,False,MS16-034[3139852],True,False,False,3153199,False,"CVE-2016-0171,CVE-2016-0173,CVE-2016-0174,CVE-2016-0175,CVE-2016-0176,CVE-2016-0196,CVE-2016-0197",3158222,2016-05-10,,Yes,False,Windows Server 2012 R2 (server core installation)
Elevation of Privilege,False,Important,Security Update for Windows Kernel-Mode Drivers,MS16-062,False,False,False,False,False,MS14-045[2976897],True,False,False,3156017,False,"CVE-2016-0171,CVE-2016-0173,CVE-2016-0174,CVE-2016-0175,CVE-2016-0176,CVE-2016-0196,CVE-2016-0197",3158222,2016-05-10,,Yes,False,Windows Server 2012
Elevation of Privilege,False,Important,Security Update for Windows Kernel-Mode Drivers,MS16-062,False,False,False,False,False,MS14-045[2976897],True,False,False,3156017,False,"CVE-2016-0171,CVE-2016-0173,CVE-2016-0174,CVE-2016-0175,CVE-2016-0176,CVE-2016-0196,CVE-2016-0197",3158222,2016-05-10,,Yes,False,Windows Server 2012 (Server Core installation)
Elevation of Privilege,False,Important,Security Update for Windows Kernel-Mode Drivers,MS16-062,False,False,False,False,False,MS16-039[3145739],True,False,False,3153199,False,"CVE-2016-0171,CVE-2016-0173,CVE-2016-0174,CVE-2016-0175,CVE-2016-0176,CVE-2016-0196,CVE-2016-0197",3158222,2016-05-10,,Yes,False,Windows Server 2012
Elevation of Privilege,False,Important,Security Update for Windows Kernel-Mode Drivers,MS16-062,False,False,False,False,False,MS16-039[3145739],True,False,False,3153199,False,"CVE-2016-0171,CVE-2016-0173,CVE-2016-0174,CVE-2016-0175,CVE-2016-0176,CVE-2016-0196,CVE-2016-0197",3158222,2016-05-10,,Yes,False,Windows Server 2012 R2
Elevation of Privilege,False,Important,Security Update for Windows Kernel-Mode Drivers,MS16-062,False,False,False,False,False,,True,False,False,3156017,False,"CVE-2016-0171,CVE-2016-0173,CVE-2016-0174,CVE-2016-0175,CVE-2016-0176,CVE-2016-0196,CVE-2016-0197",3158222,2016-05-10,,Yes,False,Windows Server 2012 R2
